epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.048,0.82105,2.35969,3.40706,1.1773,0.73288,0.18507,0.19338,0.17529,0.73288,0.18507,0.19338,0.16904,0.80186,1.5092,3.98489,1.216,0.0001,0.0001,0.0001
2,219.429,0.63665,1.10168,1.84206,1.05821,0.69349,0.09861,0.12523,0.10989,0.69349,0.09861,0.12523,0.1119,0.68542,1.12882,3.12244,1.02893,0.000208614,0.000208614,0.000208614
3,309.207,0.63193,0.9895,1.33284,1.00805,0.76278,0.1347,0.13731,0.11518,0.88407,0.1347,0.13853,0.12538,0.77543,1.67765,2.6999,1.13051,0.000315776,0.000315776,0.000315776
4,394.412,0.70806,1.05437,1.18975,1.0314,0.90815,0.1347,0.14102,0.10525,0.90815,0.1347,0.13878,0.09484,0.89046,2.18128,1.9348,1.30155,0.000421486,0.000421486,0.000421486
5,481.457,0.72298,1.03371,1.11665,1.04615,0.87423,0.14545,0.1488,0.10429,0.85743,0.12357,0.12422,0.08765,0.96059,2.68064,2.09136,1.40555,0.000525744,0.000525744,0.000525744
6,569.879,0.71468,1.1189,1.08431,1.04515,0.85534,0.1347,0.14132,0.10977,0.77397,0.11619,0.12521,0.09364,0.94106,3.08976,1.84947,1.24185,0.00062855,0.00062855,0.00062855
7,670.473,0.74922,1.29092,1.02079,1.06707,0.88947,0.07291,0.08206,0.05752,0.48669,0.08573,0.08301,0.06092,1.0244,2.37202,2.06688,1.3685,0.000729904,0.000729904,0.000729904
8,772.618,0.75983,1.455,1.11694,1.06259,0.87881,0.10381,0.10603,0.08557,0.87881,0.10381,0.1045,0.09356,0.95014,2.59098,1.5768,1.31813,0.000829806,0.000829806,0.000829806
9,879.374,0.766,1.32329,0.95982,1.05571,0.83333,0.08573,0.09106,0.06105,0.83333,0.08573,0.09106,0.0677,1.10133,3.42807,2.01176,1.4895,0.000928256,0.000928256,0.000928256
10,978.648,0.79891,1.24644,0.95462,1.05258,0.77884,0.08573,0.09826,0.08026,0.77884,0.08573,0.09826,0.07055,0.95361,3.65445,1.82402,1.31988,0.0009406,0.0009406,0.0009406
11,1116.79,0.84343,1.353,0.97253,1.10988,0.79208,0.08573,0.08766,0.05763,0.79208,0.08573,0.08765,0.05666,1.08488,4.66064,1.77024,1.50171,0.000934,0.000934,0.000934
12,1244.29,0.78557,1.21526,0.90537,1.11175,0.79971,0.07291,0.08186,0.0629,0.79971,0.07291,0.07928,0.06803,1.05781,2.60265,1.79476,1.45467,0.0009274,0.0009274,0.0009274
13,1385.83,0.76984,1.14103,0.83954,1.03799,0.75236,0.07291,0.08018,0.06419,0.75236,0.07291,0.07821,0.06568,0.97364,3.3311,1.93584,1.34787,0.0009208,0.0009208,0.0009208
14,1515.02,0.78756,1.19039,0.8764,1.08966,0.91454,0.07291,0.08369,0.06733,0.91454,0.07291,0.08135,0.07222,0.8951,2.39973,1.38162,1.23485,0.0009142,0.0009142,0.0009142
15,1640.09,0.75462,1.22381,0.80549,1.06249,0.60585,0.09098,0.12362,0.10145,0.60585,0.09098,0.12193,0.10938,0.84196,2.11957,1.63008,1.17987,0.0009076,0.0009076,0.0009076
16,1759.88,0.73415,1.18632,0.82558,1.04955,0.68434,0.05483,0.06573,0.05159,0.68434,0.05483,0.06572,0.05118,0.89293,3.242,1.58796,1.29102,0.000901,0.000901,0.000901
17,1894.83,0.7807,1.29584,0.84981,1.07157,0.92989,0.07291,0.09048,0.06658,0.92989,0.07291,0.09048,0.0626,0.92317,2.72005,1.71435,1.29682,0.0008944,0.0008944,0.0008944
18,2030.02,0.73734,1.21716,0.908,1.01403,0.75127,0.05483,0.0729,0.05964,0.75127,0.05483,0.0729,0.05893,0.84031,1.80567,1.32922,1.25405,0.0008878,0.0008878,0.0008878
19,2173.74,0.70949,1.08864,0.8117,1.03424,0.28529,0.06594,0.0763,0.06051,0.28529,0.06594,0.0763,0.0572,0.86187,1.96008,1.55616,1.21274,0.0008812,0.0008812,0.0008812
20,2329.75,0.74017,1.10493,0.81921,1.05363,0.87583,0.05483,0.07434,0.05795,0.87583,0.05483,0.07434,0.0519,1.0172,2.31096,1.20387,1.34683,0.0008746,0.0008746,0.0008746
21,2477.42,0.70472,1.04942,0.78055,1.02743,0.96494,0.05483,0.07204,0.05588,0.96494,0.05483,0.06777,0.04996,0.92951,1.79187,1.10948,1.27899,0.000868,0.000868,0.000868
22,2627.74,0.69403,1.08225,0.75157,1.04336,0.9558,0.05483,0.07031,0.05594,0.9558,0.05483,0.06794,0.0598,0.81922,1.45952,1.07182,1.1761,0.0008614,0.0008614,0.0008614
23,2769.05,0.67089,1.12128,0.76674,1.00882,0.71722,0.08402,0.09957,0.07287,0.59158,0.08368,0.09568,0.07517,0.79007,1.48093,1.01346,1.1587,0.0008548,0.0008548,0.0008548
24,2920.86,0.66694,0.94671,0.7249,1.02251,0.86741,0.06594,0.08967,0.0699,0.86741,0.06594,0.08967,0.07045,0.81808,1.47486,0.8774,1.19142,0.0008482,0.0008482,0.0008482
25,3063.34,0.70803,1.08467,0.73923,1.04492,0.52393,0.08388,0.09823,0.07464,0.52393,0.08388,0.09823,0.08103,0.83058,1.48662,1.00853,1.19569,0.0008416,0.0008416,0.0008416
26,3241.11,0.67143,1.05464,0.68449,1.00382,0.52344,0.08358,0.09901,0.07029,0.52344,0.08358,0.09901,0.08152,0.80377,1.33957,0.95952,1.17403,0.000835,0.000835,0.000835
27,3399.39,0.62743,0.97068,0.63501,0.98053,0.96016,0.05483,0.0992,0.07961,0.96016,0.05483,0.08484,0.07423,0.82008,1.3824,0.84939,1.15539,0.0008284,0.0008284,0.0008284
